127.0.0.1 - - [13/Mar/2020:13:14:28 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Mar/2020:13:14:30 +0530] "GET /PROJECT/studentlogin.jsp HTTP/1.1" 200 4977
0:0:0:0:0:0:0:1 - - [13/Mar/2020:13:16:13 +0530] "GET /PROJECT/studentlogin.jsp HTTP/1.1" 200 4648
0:0:0:0:0:0:0:1 - - [13/Mar/2020:13:16:37 +0530] "GET /PROJECT/studentlogin.jsp HTTP/1.1" 200 4617
0:0:0:0:0:0:0:1 - - [13/Mar/2020:13:17:07 +0530] "GET /PROJECT/studentlogin.jsp HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [13/Mar/2020:13:17:11 +0530] "GET /PROJECT/studentlogin.jsp HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [13/Mar/2020:13:17:12 +0530] "GET /PROJECT/studentlogin.jsp HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [13/Mar/2020:13:17:12 +0530] "GET /PROJECT/studentlogin.jsp HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [13/Mar/2020:13:17:12 +0530] "GET /PROJECT/studentlogin.jsp HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [13/Mar/2020:13:17:12 +0530] "GET /PROJECT/studentlogin.jsp HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [13/Mar/2020:13:17:12 +0530] "GET /PROJECT/studentlogin.jsp HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [13/Mar/2020:13:17:48 +0530] "GET /PROJECT/studentlogin.jsp HTTP/1.1" 200 4970
0:0:0:0:0:0:0:1 - - [13/Mar/2020:13:17:49 +0530] "GET /PROJECT/studentlogin.jsp HTTP/1.1" 200 4970
0:0:0:0:0:0:0:1 - - [13/Mar/2020:13:19:58 +0530] "GET /PROJECT/studentlogin.jsp HTTP/1.1" 200 4656
0:0:0:0:0:0:0:1 - - [13/Mar/2020:13:20:42 +0530] "GET /PROJECT/studentlogin.jsp HTTP/1.1" 200 4656
0:0:0:0:0:0:0:1 - - [13/Mar/2020:13:20:43 +0530] "GET /PROJECT/studentlogin.jsp HTTP/1.1" 200 4656
