127.0.0.1 - - [29/Mar/2020:11:17:18 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Mar/2020:11:17:22 +0530] "GET /PROJECT/NewFile4.jsp HTTP/1.1" 200 14053
0:0:0:0:0:0:0:1 - - [29/Mar/2020:11:17:22 +0530] "GET /PROJECT/styles.css HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [29/Mar/2020:11:17:22 +0530] "GET /PROJECT/notice.css HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [29/Mar/2020:11:17:22 +0530] "GET /PROJECT/jagannath%20temple.jpg HTTP/1.1" 200 1544945
0:0:0:0:0:0:0:1 - - [29/Mar/2020:11:19:30 +0530] "GET /PROJECT/NewFile4.jsp HTTP/1.1" 200 13881
0:0:0:0:0:0:0:1 - - [29/Mar/2020:11:19:30 +0530] "GET /PROJECT/styles.css HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [29/Mar/2020:11:19:39 +0530] "GET /PROJECT/styles.css HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [29/Mar/2020:11:20:06 +0530] "GET /PROJECT/NewFile4.jsp HTTP/1.1" 200 14053
0:0:0:0:0:0:0:1 - - [29/Mar/2020:11:20:06 +0530] "GET /PROJECT/styles.css HTTP/1.1" 404 1096
